year,material,region,end_use,value
2051,nickel,EU27,electrical_equipment,853178.4863
2052,nickel,EU27,electrical_equipment,877463.3594
2053,nickel,EU27,electrical_equipment,901901.5244
2054,nickel,EU27,electrical_equipment,926436.7953
2055,nickel,EU27,electrical_equipment,951013.452
2056,nickel,EU27,electrical_equipment,975576.3029
2057,nickel,EU27,electrical_equipment,1000070.73
2058,nickel,EU27,electrical_equipment,1024442.722
2059,nickel,EU27,electrical_equipment,1048638.902
2060,nickel,EU27,electrical_equipment,1072606.551
2061,nickel,EU27,electrical_equipment,1096293.634
2062,nickel,EU27,electrical_equipment,1119648.83
2063,nickel,EU27,electrical_equipment,1142621.569
2064,nickel,EU27,electrical_equipment,1165162.073
2065,nickel,EU27,electrical_equipment,1187221.406
2066,nickel,EU27,electrical_equipment,1208751.537
2067,nickel,EU27,electrical_equipment,1229705.403
2068,nickel,EU27,electrical_equipment,1250036.988
2069,nickel,EU27,electrical_equipment,1269701.401
2070,nickel,EU27,electrical_equipment,1288654.974
2071,nickel,EU27,electrical_equipment,1306855.351
2072,nickel,EU27,electrical_equipment,1324261.591
2073,nickel,EU27,electrical_equipment,1340834.276
2074,nickel,EU27,electrical_equipment,1356535.617
2075,nickel,EU27,electrical_equipment,1371329.564
2076,nickel,EU27,electrical_equipment,1385233.748
2077,nickel,EU27,electrical_equipment,1398267.666
2078,nickel,EU27,electrical_equipment,1410452.642
2079,nickel,EU27,electrical_equipment,1421811.768
2080,nickel,EU27,electrical_equipment,1432369.829
2081,nickel,EU27,electrical_equipment,1442153.208
2082,nickel,EU27,electrical_equipment,1451189.782
2083,nickel,EU27,electrical_equipment,1459508.786
2084,nickel,EU27,electrical_equipment,1467140.677
2085,nickel,EU27,electrical_equipment,1474116.971
2086,nickel,EU27,electrical_equipment,1480470.069
2087,nickel,EU27,electrical_equipment,1486233.07
2088,nickel,EU27,electrical_equipment,1491439.578
2089,nickel,EU27,electrical_equipment,1496123.492
2090,nickel,EU27,electrical_equipment,1500318.799
2091,nickel,EU27,electrical_equipment,1504059.359
2092,nickel,EU27,electrical_equipment,1507378.695
2093,nickel,EU27,electrical_equipment,1510309.783
2094,nickel,EU27,electrical_equipment,1512884.85
2095,nickel,EU27,electrical_equipment,1515135.187
2096,nickel,EU27,electrical_equipment,1517090.972
2097,nickel,EU27,electrical_equipment,1518781.108
2098,nickel,EU27,electrical_equipment,1520233.088
2099,nickel,EU27,electrical_equipment,1521472.875
2100,nickel,EU27,electrical_equipment,1522524.805
1870,nickel,EU27,machinery_and_equipment,1169.242762
1871,nickel,EU27,machinery_and_equipment,2386.156433
1872,nickel,EU27,machinery_and_equipment,3652.367129
1873,nickel,EU27,machinery_and_equipment,4969.248276
1874,nickel,EU27,machinery_and_equipment,6337.912194
1875,nickel,EU27,machinery_and_equipment,7759.203495
1876,nickel,EU27,machinery_and_equipment,9233.695233
1877,nickel,EU27,machinery_and_equipment,10761.68869
1878,nickel,EU27,machinery_and_equipment,12343.2177
1879,nickel,EU27,machinery_and_equipment,13978.0583
1880,nickel,EU27,machinery_and_equipment,15665.74449
1881,nickel,EU27,machinery_and_equipment,17405.59053
1882,nickel,EU27,machinery_and_equipment,19196.7204
1883,nickel,EU27,machinery_and_equipment,21038.10432
1884,nickel,EU27,machinery_and_equipment,22928.60254
1885,nickel,EU27,machinery_and_equipment,24867.01569
1886,nickel,EU27,machinery_and_equipment,26852.14132
1887,nickel,EU27,machinery_and_equipment,28882.83537
1888,nickel,EU27,machinery_and_equipment,30958.07736
1889,nickel,EU27,machinery_and_equipment,33077.0377
1890,nickel,EU27,machinery_and_equipment,35239.14516
1891,nickel,EU27,machinery_and_equipment,37444.15273
1892,nickel,EU27,machinery_and_equipment,39692.19944
1893,nickel,EU27,machinery_and_equipment,41983.86639
1894,nickel,EU27,machinery_and_equipment,44320.22484
1895,nickel,EU27,machinery_and_equipment,46702.87463
1896,nickel,EU27,machinery_and_equipment,49133.97169
1897,nickel,EU27,machinery_and_equipment,51616.24358
1898,nickel,EU27,machinery_and_equipment,54152.99256
1899,nickel,EU27,machinery_and_equipment,56748.08649
1900,nickel,EU27,machinery_and_equipment,59405.93803
1901,nickel,EU27,machinery_and_equipment,62131.4734
1902,nickel,EU27,machinery_and_equipment,64930.09247
1903,nickel,EU27,machinery_and_equipment,67807.62212
1904,nickel,EU27,machinery_and_equipment,70770.26533
1905,nickel,EU27,machinery_and_equipment,73824.54833
1906,nickel,EU27,machinery_and_equipment,76977.26851
1907,nickel,EU27,machinery_and_equipment,80235.44506
1908,nickel,EU27,machinery_and_equipment,83606.27482
1909,nickel,EU27,machinery_and_equipment,87097.09455
1910,nickel,EU27,machinery_and_equipment,90715.35113
1911,nickel,EU27,machinery_and_equipment,94468.58039
1912,nickel,EU27,machinery_and_equipment,98364.39462
1913,nickel,EU27,machinery_and_equipment,102410.4787
1914,nickel,EU27,machinery_and_equipment,106614.5943
1915,nickel,EU27,machinery_and_equipment,110984.5911
1916,nickel,EU27,machinery_and_equipment,115528.424
1917,nickel,EU27,machinery_and_equipment,120254.1748
1918,nickel,EU27,machinery_and_equipment,125170.078
1919,nickel,EU27,machinery_and_equipment,130284.5486
1920,nickel,EU27,machinery_and_equipment,135606.2109
1921,nickel,EU27,machinery_and_equipment,141143.9283
1922,nickel,EU27,machinery_and_equipment,146906.8325
1923,nickel,EU27,machinery_and_equipment,152904.3521
1924,nickel,EU27,machinery_and_equipment,159146.2401
1925,nickel,EU27,machinery_and_equipment,165642.6007
1926,nickel,EU27,machinery_and_equipment,172403.9142
1927,nickel,EU27,machinery_and_equipment,179441.0613
1928,nickel,EU27,machinery_and_equipment,186765.347
1929,nickel,EU27,machinery_and_equipment,194388.5231
1930,nickel,EU27,machinery_and_equipment,202322.8106
1931,nickel,EU27,machinery_and_equipment,210580.9221
1932,nickel,EU27,machinery_and_equipment,219176.0843
1933,nickel,EU27,machinery_and_equipment,228122.06
1934,nickel,EU27,machinery_and_equipment,237433.1721
1935,nickel,EU27,machinery_and_equipment,247124.3263
1936,nickel,EU27,machinery_and_equipment,257211.0359
1937,nickel,EU27,machinery_and_equipment,267709.4468
1938,nickel,EU27,machinery_and_equipment,278636.3637
1939,nickel,EU27,machinery_and_equipment,290009.2769
1940,nickel,EU27,machinery_and_equipment,301846.3904
1941,nickel,EU27,machinery_and_equipment,314166.6513
1942,nickel,EU27,machinery_and_equipment,326989.78
1943,nickel,EU27,machinery_and_equipment,340336.3017
1944,nickel,EU27,machinery_and_equipment,354227.5793
1945,nickel,EU27,machinery_and_equipment,368685.8478
1946,nickel,EU27,machinery_and_equipment,383734.2498
1947,nickel,EU27,machinery_and_equipment,399396.8722
1948,nickel,EU27,machinery_and_equipment,415698.7854
1949,nickel,EU27,machinery_and_equipment,432666.0827
1950,nickel,EU27,machinery_and_equipment,450325.9228
1951,nickel,EU27,machinery_and_equipment,468706.5728
1952,nickel,EU27,machinery_and_equipment,487837.4533
1953,nickel,EU27,machinery_and_equipment,507749.1861
1954,nickel,EU27,machinery_and_equipment,528473.6426
1955,nickel,EU27,machinery_and_equipment,550043.9954
1956,nickel,EU27,machinery_and_equipment,572494.7707
1957,nickel,EU27,machinery_and_equipment,595861.9042
1958,nickel,EU27,machinery_and_equipment,620182.7983
1959,nickel,EU27,machinery_and_equipment,645496.3819
1960,nickel,EU27,machinery_and_equipment,671843.173
1961,nickel,EU27,machinery_and_equipment,699265.3433
1962,nickel,EU27,machinery_and_equipment,727806.7859
1963,nickel,EU27,machinery_and_equipment,757513.1853
1964,nickel,EU27,machinery_and_equipment,788432.0908
1965,nickel,EU27,machinery_and_equipment,820612.9925
1966,nickel,EU27,machinery_and_equipment,854107.4004
1967,nickel,EU27,machinery_and_equipment,888968.9269
1968,nickel,EU27,machinery_and_equipment,925253.3729
1969,nickel,EU27,machinery_and_equipment,963018.8167
1970,nickel,EU27,machinery_and_equipment,1002325.707
1971,nickel,EU27,machinery_and_equipment,1043236.961
1972,nickel,EU27,machinery_and_equipment,1085818.061
1973,nickel,EU27,machinery_and_equipment,1130137.165
1974,nickel,EU27,machinery_and_equipment,1176265.213
1975,nickel,EU27,machinery_and_equipment,1224276.038
1976,nickel,EU27,machinery_and_equipment,1274246.489
1977,nickel,EU27,machinery_and_equipment,1326256.549
1978,nickel,EU27,machinery_and_equipment,1380389.47
1979,nickel,EU27,machinery_and_equipment,1436731.897
1980,nickel,EU27,machinery_and_equipment,1495374.015
1981,nickel,EU27,machinery_and_equipment,1556409.689
1982,nickel,EU27,machinery_and_equipment,1619936.616
1983,nickel,EU27,machinery_and_equipment,1686056.477
1984,nickel,EU27,machinery_and_equipment,1754875.109
1985,nickel,EU27,machinery_and_equipment,1826502.665
1986,nickel,EU27,machinery_and_equipment,1901053.794
1987,nickel,EU27,machinery_and_equipment,1978647.826
1988,nickel,EU27,machinery_and_equipment,2059408.962
1989,nickel,EU27,machinery_and_equipment,2143466.471
1990,nickel,EU27,machinery_and_equipment,2230954.898
1991,nickel,EU27,machinery_and_equipment,2322014.282
1992,nickel,EU27,machinery_and_equipment,2416790.375
1993,nickel,EU27,machinery_and_equipment,2515434.88
1994,nickel,EU27,machinery_and_equipment,2618105.691
1995,nickel,EU27,machinery_and_equipment,2724967.148
1996,nickel,EU27,machinery_and_equipment,2820632.1
1997,nickel,EU27,machinery_and_equipment,2929409.07
1998,nickel,EU27,machinery_and_equipment,3034218.498
1999,nickel,EU27,machinery_and_equipment,3150021.38
2000,nickel,EU27,machinery_and_equipment,3272520.059
2001,nickel,EU27,machinery_and_equipment,3384384.305
2002,nickel,EU27,machinery_and_equipment,3495193.222
2003,nickel,EU27,machinery_and_equipment,3596925.062
2004,nickel,EU27,machinery_and_equipment,3689180.824
2005,nickel,EU27,machinery_and_equipment,3768246.906
2006,nickel,EU27,machinery_and_equipment,3848862.266
2007,nickel,EU27,machinery_and_equipment,3902330.561
2008,nickel,EU27,machinery_and_equipment,3932599.778
2009,nickel,EU27,machinery_and_equipment,3941215.359
2010,nickel,EU27,machinery_and_equipment,3958169.978
2011,nickel,EU27,machinery_and_equipment,3969049.066
2012,nickel,EU27,machinery_and_equipment,3974393.04
2013,nickel,EU27,machinery_and_equipment,3975510.304
2014,nickel,EU27,machinery_and_equipment,3970334.88
2015,nickel,EU27,machinery_and_equipment,3952361.104
2016,nickel,EU27,machinery_and_equipment,3931063.229
2017,nickel,EU27,machinery_and_equipment,3906138.297
2018,nickel,EU27,machinery_and_equipment,3879068.341
2019,nickel,EU27,machinery_and_equipment,3844365.719
2020,nickel,EU27,machinery_and_equipment,3799610.343
2021,nickel,EU27,machinery_and_equipment,3762954.117
2022,nickel,EU27,machinery_and_equipment,3725708.296
2023,nickel,EU27,machinery_and_equipment,3685409.736
2024,nickel,EU27,machinery_and_equipment,3649433.591
2025,nickel,EU27,machinery_and_equipment,3618289.894
2026,nickel,EU27,machinery_and_equipment,3592478.125
2027,nickel,EU27,machinery_and_equipment,3572478.968
2028,nickel,EU27,machinery_and_equipment,3558746.264
2029,nickel,EU27,machinery_and_equipment,3551699.339
2030,nickel,EU27,machinery_and_equipment,3551715.897
2031,nickel,EU27,machinery_and_equipment,3559125.669
2032,nickel,EU27,machinery_and_equipment,3574204.953
2033,nickel,EU27,machinery_and_equipment,3597172.197
2034,nickel,EU27,machinery_and_equipment,3628184.713
2035,nickel,EU27,machinery_and_equipment,3667336.594
2036,nickel,EU27,machinery_and_equipment,3714657.839
2037,nickel,EU27,machinery_and_equipment,3770114.691
2038,nickel,EU27,machinery_and_equipment,3833611.116
2039,nickel,EU27,machinery_and_equipment,3904991.329
2040,nickel,EU27,machinery_and_equipment,3984043.255
2041,nickel,EU27,machinery_and_equipment,4070502.77
2042,nickel,EU27,machinery_and_equipment,4164058.563
2043,nickel,EU27,machinery_and_equipment,4264357.45
2044,nickel,EU27,machinery_and_equipment,4371009.964
2045,nickel,EU27,machinery_and_equipment,4483596.072
2046,nickel,EU27,machinery_and_equipment,4601670.848
2047,nickel,EU27,machinery_and_equipment,4724769.986
2048,nickel,EU27,machinery_and_equipment,4852415.044
2049,nickel,EU27,machinery_and_equipment,4984118.308
2050,nickel,EU27,machinery_and_equipment,5119387.238
2051,nickel,EU27,machinery_and_equipment,5257728.43
2052,nickel,EU27,machinery_and_equipment,5398651.081
2053,nickel,EU27,machinery_and_equipment,5541669.938
2054,nickel,EU27,machinery_and_equipment,5686307.76
2055,nickel,EU27,machinery_and_equipment,5832097.287
2056,nickel,EU27,machinery_and_equipment,5978582.764
2057,nickel,EU27,machinery_and_equipment,6125321.055
2058,nickel,EU27,machinery_and_equipment,6271882.386
2059,nickel,EU27,machinery_and_equipment,6417850.763
2060,nickel,EU27,machinery_and_equipment,6562824.13
2061,nickel,EU27,machinery_and_equipment,6706414.3
2062,nickel,EU27,machinery_and_equipment,6848246.718
2063,nickel,EU27,machinery_and_equipment,6987960.116
2064,nickel,EU27,machinery_and_equipment,7125206.084
2065,nickel,EU27,machinery_and_equipment,7259648.628
2066,nickel,EU27,machinery_and_equipment,7390963.728
2067,nickel,EU27,machinery_and_equipment,7518838.945
2068,nickel,EU27,machinery_and_equipment,7642973.097
2069,nickel,EU27,machinery_and_equipment,7763076.023
2070,nickel,EU27,machinery_and_equipment,7878868.445
2071,nickel,EU27,machinery_and_equipment,7990081.937
2072,nickel,EU27,machinery_and_equipment,8096459.005
2073,nickel,EU27,machinery_and_equipment,8197753.26
2074,nickel,EU27,machinery_and_equipment,8293729.686
2075,nickel,EU27,machinery_and_equipment,8384164.984
2076,nickel,EU27,machinery_and_equipment,8469164.873
2077,nickel,EU27,machinery_and_equipment,8548847.095
2078,nickel,EU27,machinery_and_equipment,8623341.005
2079,nickel,EU27,machinery_and_equipment,8692787.086
2080,nickel,EU27,machinery_and_equipment,8757336.399
2081,nickel,EU27,machinery_and_equipment,8817149.946
2082,nickel,EU27,machinery_and_equipment,8872397.947
2083,nickel,EU27,machinery_and_equipment,8923259.025
2084,nickel,EU27,machinery_and_equipment,8969919.305
2085,nickel,EU27,machinery_and_equipment,9012571.416
2086,nickel,EU27,machinery_and_equipment,9051413.423
2087,nickel,EU27,machinery_and_equipment,9086647.679
2088,nickel,EU27,machinery_and_equipment,9118479.615
2089,nickel,EU27,machinery_and_equipment,9147116.484
2090,nickel,EU27,machinery_and_equipment,9172766.073
2091,nickel,EU27,machinery_and_equipment,9195635.4
2092,nickel,EU27,machinery_and_equipment,9215929.415
2093,nickel,EU27,machinery_and_equipment,9233849.726
2094,nickel,EU27,machinery_and_equipment,9249593.371
2095,nickel,EU27,machinery_and_equipment,9263351.659
2096,nickel,EU27,machinery_and_equipment,9275309.088
2097,nickel,EU27,machinery_and_equipment,9285642.376
2098,nickel,EU27,machinery_and_equipment,9294519.606
2099,nickel,EU27,machinery_and_equipment,9302099.508
2100,nickel,EU27,machinery_and_equipment,9308530.884
1870,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,234.548089
1871,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,478.608712
1872,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,732.20543
1873,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,995.001826
1874,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,1266.299002
1875,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,1545.046631
1876,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,1829.872538
1877,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,2119.134538
1878,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,2410.996228
1879,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,2703.525654
1880,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,2994.812437
1881,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,3283.095494
1882,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,3566.890471
1883,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,3845.104109
1884,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,4117.122548
1885,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,4382.862553
1886,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,4642.778566
1887,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,4897.824166
1888,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,5149.372752
1889,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,5399.108038
1890,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,5648.898957
1891,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,5900.675025
1892,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,6156.316806
1893,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,6417.57224
1894,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,6686.004258
1895,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,6962.969551
1896,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,7249.623784
1897,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,7546.945702
1898,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,7855.771778
1899,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,8176.833919
1900,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,8510.794726
1901,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,8858.277089
1902,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,9219.886983
1903,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,9596.2298
1904,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,9987.921371
1905,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,10395.59508
1906,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,10819.90638
1907,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,11261.53567
1908,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,11721.19034
1909,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,12199.60632
1910,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,12697.54945
1911,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,13215.81678
1912,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,13755.23788
1913,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,14316.67616
1914,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,14901.03029
1915,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,15509.23561
1916,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,16142.26563
1917,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,16801.13361
1918,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,17486.89417
1919,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,18200.64495
1920,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,18943.52842
1921,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,19716.73366
1922,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,20521.4983
1923,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,21359.11048
1924,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,22230.9109
1925,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,23138.29502
1926,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,24082.71523
1927,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,25065.6832
1928,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,26088.77231
1929,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,27153.62016
1930,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,28261.93118
1931,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,29415.47939
1932,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,30616.11121
1933,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,31865.7484
1934,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,33166.39119
1935,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,34520.12144
1936,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,35929.10599
1937,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,37395.60011
1938,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,38921.95114
1939,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,40510.60221
1940,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,42164.09617
1941,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,43885.07969
1942,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,45676.30743
1943,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,47540.64651
1944,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,49481.08106
1945,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,51500.71703
1946,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,53602.78711
1947,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,55790.65597
1948,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,58067.8256
1949,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,60437.94093
1950,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,62904.79566
1951,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,65472.33834
1952,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,68144.67868
1953,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,70926.09414
1954,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,73821.03676
1955,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,76834.1403
1956,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,79970.22766
1957,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,83234.31858
1958,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,86631.63771
1959,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,90167.62292
1960,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,93847.93406
1961,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,97678.46198
1962,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,101665.338
1963,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,105814.9436
1964,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,110133.9209
1965,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,114629.183
1966,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,119307.9251
1967,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,124177.6364
1968,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,129246.1113
1969,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,134521.4628
1970,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,140012.1348
1971,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,145726.9158
1972,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,151674.9532
1973,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,157865.7676
1974,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,164309.2683
1975,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,171015.769
1976,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,177996.0045
1977,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,185261.1475
1978,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,192822.827
1979,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,200693.1465
1980,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,208884.7035
1981,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,217410.6098
1982,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,226284.5122
1983,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,235520.6147
1984,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,245133.7011
1985,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,255139.1583
1986,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,265553.0014
1987,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,276391.8995
1988,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,287673.2015
1989,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,299414.9648
1990,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,311635.9838
1991,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,324355.8199
1992,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,337594.8329
1993,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,351374.2138
1994,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,365716.0185
1995,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,380643.2029
1996,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,393058.7126
1997,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,407828.6191
1998,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,421519.1376
1999,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,437125.7912
2000,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,453783.5906
2001,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,468759.2456
2002,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,483684.1114
2003,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,496629.7842
2004,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,507656.0202
2005,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,516683.6071
2006,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,528081.7077
2007,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,536355.056
2008,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,542620.2162
2009,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,546931.6935
2010,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,558523.9843
2011,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,572810.1034
2012,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,589478.1988
2013,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,608338.8447
2014,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,627632.1154
2015,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,643440.225
2016,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,658981.8923
2017,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,673313.9748
2018,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,686485.8775
2019,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,695722.5593
2020,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,699829.2435
2021,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,706227.9964
2022,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,710984.4826
2023,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,714019.2904
2024,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,718157.0554
2025,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,723479.7955
2026,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,730100.0728
2027,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,738156.0492
2028,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,747802.9135
2029,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,759201.2603
2030,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,772503.5563
2031,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,787840.2171
2032,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,805306.9635
2033,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,824954.993
2034,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,846785.1174
2035,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,870746.4457
2036,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,896739.5557
2037,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,924623.5021
2038,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,954225.56
2039,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,985352.3663
2040,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,1017801.104
